retangulo,x_A,y_A,x_B,y_B,x_C,y_C,x_D,y_D
False,63.19780620880198,91.10524958512929,16.392474240178412,85.93319035996588,2.093281734707231,23.358199785771426,86.49272429347519,98.7404783016864
False,74.61669919937967,38.50500171213997,74.12426041988031,62.27639325157946,7.325622196800841,67.09408961561842,47.7549698559841,25.93989445764844
False,92.31514078391945,59.96896812009991,20.99125102903604,90.10037128082271,2.838390634853183,45.92261980179009,28.96051941868486,76.44618306410061
True,24.83155489933019,82.76310324055503,41.65895720602866,82.76310324055503,41.65895720602866,100.86495563124619,24.83155489933019,100.86495563124619
True,68.58231456722669,79.39849867814301,88.66865209314452,79.39849867814301,88.66865209314452,102.05177411812453,68.58231456722669,102.05177411812453
True,19.099325347538908,86.38609499640468,30.37378474696442,86.38609499640468,30.37378474696442,113.44628993669623,19.099325347538908,113.44628993669623
True,13.20440184535916,49.01309551681563,35.529262355826795,49.01309551681563,35.529262355826795,75.34169695355678,13.20440184535916,75.34169695355678
False,88.3489081510907,33.39788855542292,64.02142700713742,1.170001089003947,71.31107035179441,69.78582008654037,91.77917386095822,91.2833415344596
False,28.811780653856,80.13421854133568,33.152965754930605,12.865122976344146,46.743811189224424,13.609424920233227,74.99312421910687,5.656624065954996
True,75.43755364524878,11.040945848391203,101.54155765617081,11.040945848391203,101.54155765617081,28.59736645989844,75.43755364524878,28.59736645989844
False,60.80520783545745,9.845447070978143,94.98934026998391,32.89055088866609,92.91151665767711,50.21896055450564,44.1259993970219,21.918779784350907
False,10.336519097912412,73.14436437276808,63.45511322112127,7.580387145565837,62.23576134477305,13.919908577601648,40.22100974581966,14.44151779025107
True,81.04504575634822,88.64648442282727,102.84227954076344,88.64648442282727,102.84227954076344,106.96207946088273,81.04504575634822,106.96207946088273
False,73.74462267834024,74.43522540356513,52.03688055016664,74.97741699654958,77.20331136348871,5.838572016888999,28.235305815276334,58.29169772164585
False,42.50651074615847,29.996625011496747,7.671038285444343,53.06979775239669,2.1007487517032075,33.88718658655154,91.87085265123002,1.5808010122934868
True,45.39476158567391,87.44067723677419,68.82409271867994,87.44067723677419,68.82409271867994,110.94914063023184,45.39476158567391,110.94914063023184
True,68.31592569909473,59.149307797991526,89.2879055768162,59.149307797991526,89.2879055768162,69.3527148143849,68.31592569909473,69.3527148143849
True,92.42230615296101,10.030764868566166,110.32557928963186,10.030764868566166,110.32557928963186,20.805762896965007,92.42230615296101,20.805762896965007
True,76.48500671838,7.4502355399702065,95.0962959371966,7.4502355399702065,95.0962959371966,29.059936300193648,76.48500671838,29.059936300193648
True,90.42225337855024,46.261917176281095,113.96018392480963,46.261917176281095,113.96018392480963,69.6164128369523,90.42225337855024,69.6164128369523
True,88.5568093747254,13.788024850783998,99.86705229742458,13.788024850783998,99.86705229742458,39.70968771089649,88.5568093747254,39.70968771089649
